Timestamp,day time,type,duration,intensity,number of reps,comments,subjective level,,https://docs.google.com/forms/d/e/1FAIpQLSdHnTpfXK465DjzWGKb2FDjVXJ96sm4HVRhnMDPIosyTUGseQ/viewform
4/25/2020 13:18:15,4/24/2020 15:35:00,kettlebell,00:10,4,,"Kettlebell swings, snatches, goblin squats with rest in between ",3,,
4/25/2020 13:19:13,4/25/2020 10:00:00,trampoline,00:01,2,,,1,,
4/25/2020 14:17:21,4/25/2020 14:10:00,pushup,00:04,4,50,2x25 with breath holding (25 push ups in one breath),3,,
4/25/2020 15:16:26,4/25/2020 12:40:00,trampoline,00:02,2,,,1,,
4/25/2020 15:17:13,4/25/2020 13:05:00,walking,00:06,1,,,1,,
4/25/2020 16:48:18,4/25/2020 14:45:00,"weight lifting, movement, kettlebell",00:03,3,5,"curls, handstands",3,,
4/25/2020 19:47:02,4/25/2020 15:56:00,"trampoline, movement, kettlebell",00:10,4,,"Kettlebell snatches, Dips using chairs",4,,
4/26/2020 17:40:06,4/26/2020 10:10:00,trampoline,00:02,2,,morning trampoline,1,,
4/26/2020 17:41:12,4/26/2020 13:30:00,kettlebell,00:05,2,10,judo warmup with kettlebells,3,,
4/26/2020 17:42:00,4/26/2020 14:50:00,trampoline,00:01,2,,,1,,
4/26/2020 17:43:43,4/26/2020 15:10:00,walking,00:30,1,,,1,,
4/26/2020 17:44:27,4/26/2020 15:14:00,calisthenics,00:04,3,,pull ups and parallel bars sit to plank ,4,,
4/26/2020 17:46:11,4/26/2020 15:30:00,pole,00:01,3,1,pole climb,5,,
4/27/2020 12:23:36,4/27/2020 9:30:00,trampoline,00:01,1,,,1,,
4/27/2020 14:32:35,4/27/2020 12:28:00,"trampoline, movement, kettlebell",00:05,3,,"trampoline, kettlebell snatches, handstands",3,,
4/27/2020 15:13:16,4/27/2020 13:00:00,kettlebell,00:01,3,10,single arm rows 10/arm,4,,
4/27/2020 16:22:56,4/27/2020 14:22:00,trampoline,00:01,2,,,1,,
4/27/2020 22:48:28,4/27/2020 15:30:00,"trampoline, weight lifting, stretching/foam rolling, movement, pole, kettlebell",00:40,4,,"trampoline warmup 5min, alternating with rest in between:Goblet squats/lunges,Pole climbs,wall climbs,kettlebell swings,pushups to failure",4,,
4/28/2020 11:08:33,4/28/2020 8:50:00,"trampoline, pushup",00:02,2,10,,3,,
