Timestamp,Time,Content,Props,Tags,weight,comments,estimated calories,estimated carb percentage,estimated fat percentage,estimated protein percentage,,,https://docs.google.com/forms/d/e/1FAIpQLSdc31VkMklTUbyj_r3WRG6ClHNnThKmWjNO3pDigdQn4xGzew/viewform
4/24/2020 21:24:48,4/24/2020 18:30:00,dates,High carb,"ramadan,breakfast",50,,,,,,,6,148
4/24/2020 21:24:48,4/24/2020 18:50:00,"scallops
eggs
lentils
salsify
carrot
garlic
spinach
olive oil
sweet potato
spring onion",Slow carb,"ramadan,breakfast",750,,,,,,,6,148
4/24/2020 21:53:41,4/24/2020 19:40:00,"Coconut flour
Almond flour
Brazil nut butter
Macademia nuts
Blueberries
Celtic sea salt
Argan oil
Tahini
Avocado
Coconut milk
Honey",Low carb high fat,ramadan,200,,,,,,,5,148
4/25/2020 21:40:59,4/25/2020 18:30:00,dates,High carb,"ramadan,breakfast",40,,,,,,,6,149
4/25/2020 21:40:59,4/25/2020 18:55:00,"sweet potato
scallop
salmon
garlic
egg
mache
cauliflower
salsify
carrot
olive oil
spring onion
Beetroot
Lentils","Slow carb, Moderate carb",ramadan,790,,,,,,,6,149
4/25/2020 23:58:36,4/25/2020 20:10:00,"Coconut flour
Almond flour
Brazil nut butter
Macademia nuts
Blueberries
Celtic sea salt
Argan oil
Tahini
Avocado
Coconut milk
Honey
Chlorella",Low carb high fat,ramadan,300,,,,,,,4,149
4/26/2020 22:37:42,4/26/2020 18:30:00,dates,High carb,"ramadan,breakfast",50,,,,,,,6,150
4/26/2020 22:37:42,4/26/2020 19:20:00,"olives
spirulina
salmon
garlic
egg
mache
spinach
cauliflower
carrot
olive oil
spring onion
beetroot
tomato
lentils
honey","Slow carb, High protein",ramadan,750,,,,,,,5,150
4/26/2020 22:43:56,4/26/2020 20:25:00,"Coconut flour
Almond flour
Brazil nut butter
Macademia nuts
Blueberries
Celtic sea salt
Argan oil
Tahini
Avocado
Coconut milk
Chlorella
Reishi",Low carb high fat,ramadan,500,,,,,,,4,150
4/27/2020 22:52:18,4/27/2020 18:35:00,"dates
spirulina",High carb,"ramadan,breakfast",50,,,,,,,6,151
